我們試試看！	我們 試試看 ！
啊，他们什么时候会再见？	啊 ， 他们 什么时候 会 再见 ？
太惊喜了!	太 惊喜 了 !
我记得第一次。	我 记得 第一次 。
把你的孩子带来。	把你 的 孩子 带来 。
我现在在机场。	我 现在 在 机场 。
什么也没少。	什么 也 没 少 。
父母爱自己的孩子。	父母 爱 自己的 孩子 。
把灯关了。我睡不着。	把 灯 关了 。 我 睡 不着 。
把灯打开。我什么都看不见了。	把 灯 打开 。 我 什么 都看 不见 了 。
下次我不做了。	下次 我 不做 了 。
不会再有下次了。	不会 再有 下次 了 。
带他进来。	带 他 进来 。
我肯定她很快就会回来的。	我 肯定 她 很快 就会 回来 的 。
再给我举个例子。	再给 我 举个 例子 。
明天图书馆见。	明天 图书馆 见 。
你会迷路的。	你 会 迷路 的 。
这电子辞典的好处就是便于携带。	这 电子 辞典 的 好处 就是 便于 携带 。
他的视力不佳。	他的 视力 不佳 。
有什么新鲜事吗？	有 什么 新鲜事 吗 ？
开始下雪了。	开始 下雪 了 。
我注册了，现在该干什么呢？	我 注册 了 ， 现在 该 干什么 呢 ？
我宁愿不说出来。	我 宁愿 不说 出来 。
我宁愿死也不要给你结婚！	我 宁愿 死 也 不要 给 你 结婚 ！
太可惜了，你一点也不懂它的真髓。	太 可惜 了 ， 你 一点也不 懂 它的 真髓 。
他宁愿星期五去。	他 宁愿 星期五 去 。
你怎么还不睡觉？	你 怎么 还不 睡觉 ？
你宁愿说谎也不要让他生气吗？	你 宁愿 说谎 也 不要 让 他 生气 吗 ？
我宁愿不睡觉也要看完这本书。	我 宁愿 不睡 觉 也 要看 完 这本 书 。
我宁愿没有钱也要找到爱情。	我 宁愿 没有钱 也 要找 到 爱情 。
我宁愿逃学也要玩电子游戏。	我 宁愿 逃学 也 要 玩 电子 游戏 。
他是老师吗?	他 是 老师 吗 ?
我住在東京。	我 住在 東京 。
我的眼睛是藍色的。	我的 眼睛 是 藍色 的 。
我们的学校离这儿要十分钟走路。	我们 的 学校 离 这儿 要 十分 钟 走路 。
这是山田先生的家。	这 是 山田 先生 的 家 。
上海被称为东方的巴黎。	上海 被称为 东方 的 巴黎 。
他是巴黎人。	他 是 巴黎人 。
地震災難的受害者非常多。	地震 災難 的 受害者 非常 多 。
他跟我说了他明天从北京机场飞往英格兰。	他 跟 我 说了 他 明天 从 北京 机场 飞往 英格兰 。
大学对面有几家书店。	大学 对面 有 几家 书店 。
他自己的生存现在更重要了。	他自己 的 生存 现在 更重 要 了 。
我們應該取消這次遠足。	我們 應該 取消 這次 遠足 。
我們設法得到一些外國的郵票。	我們 設法 得到 一些 外國 的 郵票 。
我一周前已經買了。	我 一周 前 已經 買了 。
她成功地開車了。	她 成功 地 開車 了 。
沒有一個人能做到這一點。	沒有 一個 人 能做 到 這一點 。
这个窝棚是个很特别的地方。	这个 窝棚 是 个 很 特别 的 地方 。
我把錢放入保險櫃裡。	我 把 錢 放入 保險櫃 裡 。
他是我的一個鄰居。	他 是 我的 一個 鄰居 。
她的英語正在進步中。	她的 英語 正在 進步 中 。
對不起，我太無理了。	對不起 ， 我 太 無理 了 。
我把它放在抽屜裡。	我 把 它 放在 抽屜 裡 。
他正在籌備一次旅行。	他 正在 籌備 一次 旅行 。
我並不總是在星期天回家。	我 並不 總是 在 星期天 回家 。
這風景美得無法形容。	這 風景 美 得 無法 形容 。
他的英語有很大的進步。	他的 英語 有 很大 的 進步 。
她寧願工作也不願閒著。	她 寧願 工作 也 不願 閒 著 。
我寧願搭飛機旅行。	我 寧願 搭 飛機 旅行 。
这个程序缺陷满多。	这个 程序 缺陷 满 多 。
肯每天早上自己整理床舖。	肯 每天 早上 自己 整理 床 舖 。
我不習慣這樣的待遇。	我 不習慣 這樣 的 待遇 。
这个诉讼程序缺陷满多。	这个 诉讼 程序 缺陷 满 多 。
我很擔心我的體重。	我 很 擔心 我的 體重 。
湯姆發動了引擎。	湯 姆 發動 了 引擎 。
他裁開了那個信封。	他 裁開 了 那個 信封 。
她每天早上自己起床。	她 每天 早上 自己 起床 。
約翰逗弄他的狗。	約翰 逗弄 他的 狗 。
他跟所有他遇見的人交朋友。	他 跟 所有 他 遇見 的 人 交朋友 。
他充分利用他的機會。	他 充分 利用 他的 機會 。
我們把牛奶製成乳酪和奶油。	我們 把 牛奶 製 成 乳酪 和 奶油 。
我可以和你講一下話嗎?	我 可以 和 你 講 一下 話 嗎 ?
你讓我感到很內疚。	你讓 我 感到 很 內疚 。
大象有長鼻子。	大象 有 長鼻 子 。
她守著這個秘密。	她 守著 這個 秘密 。
十間房屋被燒毀了。	十 間 房屋 被 燒毀 了 。
我不想要問他。	我 不想 要 問他 。
他們好好地利用他們的房間。	他們 好好 地利 用他 們 的 房間 。
我们把牛奶製成奶酪和黄油。	我们 把 牛奶 製 成 奶酪 和 黄油 。
我重視準時。	我 重視 準 時 。
我趕快跑走了。	我 趕快 跑走 了 。
我在大學主修哲學。	我 在 大學 主修 哲學 。
你別小看了他。	你別 小看 了 他 。
你膽子很大。	你 膽子 很大 。
我的祖父要用拐杖才能走路。	我的 祖父 要用 拐杖 才能 走路 。
她和她的家人都很好。	她 和 她的 家人 都 很好 。
她在那個小鎮已經住了五年了。	她 在 那個 小鎮 已經 住了 五年 了 。
富士山是日本最高的山。	富士山 是日 本 最高 的 山 。
他演讲时候的发音很自然。	他 演讲 时候 的 发音 很 自然 。
他打开了信封。	他 打开 了 信封 。
她为了个玩具在哭。	她 为了 个 玩具 在 哭 。
我看见一个老太太穿过了马路。	我 看见 一个 老太太 穿过 了 马路 。
她的未婚夫是一個太空人。	她的 未婚夫 是 一個 太空人 。
少喝点啤酒!	少 喝点 啤酒 !
我该改一下我的计划。	我 该改 一下 我的 计划 。
太阳在夏天比冬天升起得早。	太阳 在 夏天 比 冬天 升起 得 早 。
我太累了，做不了功课。	我 太 累了 ， 做 不了 功课 。
您最好在外衣里穿一件套衫。	您 最好 在 外衣 里 穿 一件 套衫 。
我留着在街上发现的20美元。	我 留着 在 街上 发现 的 20 美元 。
因为一起事故，我上学迟到了。	因为 一起 事故 ， 我 上学 迟到 了 。
在我的部门里有七男四女。	在 我的 部门 里 有 七 男 四 女 。
他回店里去了。	他 回 店里 去了 。
她是第一次来意大利吗？	她 是 第一次 来意 大利 吗 ？
我能问您一个问题吗？	我 能 问 您 一个 问题 吗 ？
你们可以乘火车从华盛顿去纽约。	你们 可以 乘 火车 从 华盛顿 去 纽约 。
从华盛顿乘火车可以到纽约。	从 华盛顿 乘 火车 可以 到 纽约 。
明天我很忙，不能来你家了。	明天 我 很忙 ， 不能 来 你家 了 。
跟我一起来会不会麻烦你？	跟 我 一起 来 会不会 麻烦 你 ？
你介意跟我一起来吗？	你 介意 跟 我 一起 来 吗 ？
他是香港人。	他 是 香港 人 。
Marco觉得他写得很好。	Marco觉得他写得很好 。
土豆太热，以至于我烫到了嘴。	土豆 太热 ， 以至于 我 烫 到了 嘴 。
土豆太热，以至于烫到了我的嘴。	土豆 太热 ， 以至于 烫 到了 我的 嘴 。
好像你们在这儿玩得不愉快啊。	好像 你们 在 这儿 玩 得不 愉快 啊 。
大多数美国人似乎不反对我直呼其名。	大多数 美国人 似乎 不 反对 我 直呼 其名 。
好像她病了。	好像 她 病了 。
她好像病了。	她 好像 病了 。
海豚和驯养员交流得比我们所期望的好得多。	海豚 和 驯养 员 交流 得比 我们 所 期望 的 好得多 。
我昨天去那儿了。	我 昨天 去 那儿 了 。
见到你真好。	见到 你 真好 。
昨晚你把她送回家了吗？	昨晚 你把 她 送回 家 了 吗 ？
这条河是欧洲最宽的。	这条 河 是 欧洲 最 宽 的 。
3点半了。	3 点半 了 。
“我觉得这太讽刺了。”“怎么会？”	“ 我 觉得 这太 讽刺 了 。 ” “ 怎么 会 ？ ”
你几岁交了第一个女朋友？	你 几岁 交了 第一个 女朋友 ？
没有什么比散步更好的了。	没有 什么 比 散步 更好 的 了 。
我刚从学校回来。	我 刚从 学校 回来 。
梦想能让我疯狂。	梦想 能 让我 疯狂 。
她停下来抽了根烟。	她 停下来 抽 了 根 烟 。
我妹妹有架漂亮的钢琴。	我 妹妹 有 架 漂亮 的 钢琴 。
我们真正的国籍是人类。	我们 真正 的 国籍 是 人类 。
俄罗斯人从不笑。	俄罗斯人 从不 笑 。
这房子和土地属于我。	这 房子 和 土地 属于我 。
他儿子的犯罪行为给他带来了很大的痛苦。	他 儿子 的 犯罪 行为 给 他 带来 了 很大 的 痛苦 。
我该待在床上吗？	我 该 待在 床上 吗 ？
您在哪儿看电视？	您 在哪 儿 看电视 ？
日本有很多温泉。	日本 有 很多 温泉 。
她不需要做这个工作。	她 不需要 做 这个 工作 。
我頭痛得厲害。	我 頭痛 得 厲害 。
我在大學主修化學。	我 在 大學 主修 化學 。
我在大學主修美國文學。	我 在 大學 主修 美國 文學 。
他們要我們整夜工作。	他們 要 我們 整夜 工作 。
我正在尋找一位老人。	我 正在 尋找 一位 老人 。
他無法深呼吸。	他 無法 深呼吸 。
他們讓我們工作了一整天。	他們 讓 我們 工作 了 一 整天 。
他無法得到這份工作。	他 無法 得到 這份 工作 。
他們讓我們工作了一整天。	他們 讓 我們 工作 了 一 整天 。
最壞的已經過去了。	最壞 的 已經 過去了 。
我盡可能地跑快一點。	我 盡可能 地 跑快 一點 。
我和他比賽跑步。	我 和 他 比賽 跑步 。
我們上同一所學校。	我們 上 同一 所學 校 。
老師要我們重複這個字。	老師 要 我們 重 複 這個 字 。
他們和解了，並再次成為了朋友。	他們 和解 了 ， 並 再次 成為 了 朋友 。
他們往小鎮方向去了。	他們 往 小鎮 方向 去了 。
你要是不答应的话，我就袖手旁观。	你 要是 不答应 的话 ， 我 就 袖手旁观 。
他收集了一些訊息。	他 收集 了 一些 訊息 。
虽然有人来了，但是她还是忐忑不安。	虽然 有 人 来 了 ， 但是 她 还是 忐忑不安 。
我們不能違背我們的承諾。	我們 不能 違背 我們 的 承諾 。
我喜歡紅葡萄酒勝過白葡萄酒。	我 喜歡 紅葡萄酒 勝過 白葡萄酒 。
他們從人群中擠過去了。	他們 從 人群 中 擠過 去了 。
今天的雲比昨天的多。	今天 的 雲 比 昨天 的 多 。
他們渡河前進。	他們 渡河 前進 。
山姆組了學校的籃球隊。	山姆 組 了 學校 的 籃球隊 。
她犯了和以前同樣的錯誤。	她 犯了 和 以前 同樣 的 錯誤 。
我們乘公共汽車去上學。	我們 乘 公共汽車 去上學 。
她又犯了同樣的錯誤了。	她 又 犯了 同樣 的 錯誤 了 。
我太忙了，無法幫助他。	我 太忙 了 ， 無法 幫助 他 。
他從美國回來了。	他 從 美國 回來 了 。
他來看我了。	他 來看 我 了 。
多放一點糖。	多 放 一點 糖 。
她十分漂亮。	她 十分 漂亮 。
喂！这里有个会说维语的美国人！快来把他的电脑检查一下！	喂 ！ 这里 有个 会 说 维 语 的 美国人 ！ 快来 把 他的 电脑 检查 一下 ！
你觉得绕路的司机占所有的出租车司机的百分之多少？	你 觉得 绕路 的 司机 占 所有 的 出租车 司机 的 百分之 多少 ？
他們把這本小說變成戲劇。	他們 把 這本 小說 變成 戲劇 。
我為我的孩子們感到很驕傲。	我 為 我的 孩子們 感到 很 驕傲 。
今天上午我有一點兒發燒。	今天 上午 我 有 一點兒 發燒 。
我的腳起水泡了。	我的 腳 起水 泡 了 。
我為一家銀行工作。	我 為 一家 銀行 工作 。
我們盡力地利用了這個機會。	我們 盡力 地利 用了 這個 機會 。
我真的很關心你的未來。	我 真的 很 關心 你的 未來 。
你想要來些炒蛋嗎？	你 想要 來 些 炒蛋 嗎 ？
我從來沒有見過一條活生生的鯨魚。	我 從來沒有 見過 一條 活生生 的 鯨魚 。
我不習慣辛辣的食物。	我 不習慣 辛辣 的 食物 。
他盡力地利用了這個機會。	他 盡力 地利 用了 這個 機會 。
他盡力地利用了他的機會。	他 盡力 地利 用了 他的 機會 。
她為我做了這個娃娃。	她 為 我 做了 這個 娃娃 。
電流可以產生磁性。	電流 可以 產生 磁性 。
你去上學，不是嗎?	你去 上學 ， 不是 嗎 ?
他善用了這個機會。	他 善用 了 這個 機會 。
他們直奔目的地。	他們 直奔 目的地 。
我們用木材做雕像。	我們 用 木材 做 雕像 。
你能把門關上嗎?	你能 把門 關上 嗎 ?
他知道如何去吸引他的聽眾。	他 知道 如何 去 吸引 他的 聽眾 。
你最好回家。	你 最好 回家 。
你應該先從最簡單的問題開始。	你 應該 先 從 最簡單 的 問題 開始 。
我們應該去請醫生。	我們 應該 去請 醫生 。
我們應該叫警察來。	我們 應該 叫 警察 來 。
我們在那裡有一個不愉快的經歷。	我們 在那裡 有 一個 不愉快 的 經歷 。
我已經持續讀了一個小時了。	我 已經 持續 讀 了 一個 小時 了 。
她跟醫生預約看診了。	她 跟 醫生 預約 看 診 了 。
在這次考試中我犯了幾個錯誤。	在 這次 考試 中 我 犯了 幾個 錯誤 。
我今天玩得很開心。	我 今天 玩 得很 開心 。
我們為她舉辦了一個歡迎會。	我們 為 她 舉辦 了 一個 歡迎會 。
我們在學校有一個早午餐。	我們 在 學校 有 一個 早 午餐 。
當我到的時候，她已經走了。	當 我 到 的時候 ， 她 已經 走了 。
昨晚我作了一個可怕的夢。	昨晚 我 作了 一個 可怕 的 夢 。
我曾與他的比賽網球。	我 曾與 他的 比賽 網球 。
我們中途在芝加哥停留。	我們 中途 在 芝加哥 停留 。
她隱約地有一種的內疚感。	她 隱約 地 有 一種 的 內疚 感 。
我有一通來自她的電話。	我 有 一 通 來自 她的 電話 。
她打了一通電話給我。	她 打了 一 通電 話 給 我 。
他又喝了一碗湯。	他 又 喝了 一碗 湯 。
我們在樹蔭下休息。	我們 在 樹蔭 下 休息 。
